#         t          x          y          z         vx         vy         vz
      0.000   -377.690    611.450   -284.630     72.580    -72.710     49.860
      0.014   -376.640    610.410   -283.920     73.360    -73.590     51.630
      0.029   -375.600    609.370   -283.200     72.740    -74.380     52.720
      0.043   -374.570    608.330   -282.490     71.470    -73.830     53.010
      0.057   -373.540    607.290   -281.770     71.360    -74.050     51.980
      0.071   -372.500    606.250   -281.070     73.110    -74.220     50.420
      0.086   -371.430    605.200   -280.380     73.880    -74.980     50.610
      0.100   -370.370    604.130   -279.680     73.970    -76.340     51.460
      0.114   -369.300    603.060   -278.980     74.200    -76.680     51.460
      0.129   -368.230    601.980   -278.280     73.100    -77.170     49.850
      0.143   -367.150    600.900   -277.590     75.390    -76.860     50.590
      0.157   -366.070    599.810   -276.880     75.470    -78.150     51.970
      0.171   -364.990    598.720   -276.170     75.610    -78.140     52.390
      0.186   -363.900    597.620   -275.460     75.810    -77.940     52.720
      0.200   -362.820    596.520   -274.740     76.030    -78.370     52.880
      0.214   -361.740    595.420   -274.020     75.320    -78.630     53.100
      0.229   -360.680    594.310   -273.290     73.870    -78.520     52.970
      0.243   -359.630    593.210   -272.570     72.210    -77.710     51.630
      0.257   -358.580    592.110   -271.880     73.090    -77.680     49.520
      0.271   -357.520    591.000   -271.190     74.480    -78.740     50.810
      0.286   -356.460    589.870   -270.480     72.320    -81.240     51.850
      0.300   -355.410    588.730   -269.760     71.450    -80.970     52.240
      0.314   -354.370    587.580   -269.060     71.100    -79.330     49.450
      0.329   -353.330    586.450   -268.360     72.090    -80.270     49.750
      0.343   -352.290    585.310   -267.670     70.600    -80.920     50.070
      0.357   -351.270    584.160   -266.970     69.630    -81.060     49.350
      0.371   -350.270    583.000   -266.280     69.710    -82.130     49.380
      0.386   -349.250    581.840   -265.600     69.960    -82.640     49.750
      0.400   -348.240    580.670   -264.910     69.380    -82.230     49.170
      0.414   -347.230    579.490   -264.220     68.660    -82.150     48.940
      0.429   -346.230    578.310   -263.540     67.930    -82.300     47.160
