#         t          x          y          z         vx         vy         vz
      0.000     -2.080      2.950     -1.450      0.500      8.240     -1.660
      0.014     -2.040      3.100     -1.480      1.140      8.080     -0.530
      0.029     -1.930      3.200     -1.480      1.770      7.180     -0.970
      0.043     -1.840      3.220     -1.490      0.250      5.760     -1.450
      0.057     -1.790      3.180     -1.480      0.690      7.600     -0.990
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.086     -1.800      3.140     -1.470     -0.930      5.980     -1.600
      0.100     -1.820      3.150     -1.500     -1.910      7.440     -1.510
      0.114     -1.880      3.240     -1.530     -1.840      8.290     -0.950
      0.129     -1.870      3.200     -1.540     -2.670      9.030     -1.290
      0.143     -1.900      3.210     -1.550     -4.940     10.010     -0.940
      0.157     -1.990      3.290     -1.560     -2.790     10.660     -1.700
      0.171     -2.040      3.380     -1.610     -3.480     10.450     -1.010
      0.186     -2.100      3.440     -1.610     -4.780      9.850     -0.490
      0.200     -2.160      3.460     -1.570     -3.870      8.830      1.180
      0.214     -2.160      3.410     -1.580     -3.480      7.770     -0.060
      0.229     -2.210      3.430     -1.580     -4.770      7.550      0.030
      0.243     -2.290      3.470     -1.570     -5.550      7.110     -0.500
      0.257     -2.330      3.620     -1.600     -5.700      6.320     -0.430
      0.271     -2.400      3.700     -1.610     -5.530      8.070      0.210
      0.286     -2.450      3.780     -1.610     -5.400      7.320      0.430
      0.300     -2.510      3.850     -1.600     -7.310      5.920      0.450
      0.314     -2.540      3.950     -1.600     -4.180      7.490     -0.000
      0.329     -2.560      4.040     -1.600     -5.640      8.180      0.120
      0.343     -2.740      3.980     -1.540     -6.670      6.920      0.990
      0.357     -2.790      4.060     -1.530     -8.220      6.590      0.270
      0.371     -2.870      4.110     -1.540    -10.500      8.120      0.270
      0.386     -3.000      4.220     -1.530    -11.760      9.810     -0.440
      0.400     -3.140      4.350     -1.560    -10.950     12.070     -1.580
      0.414     -3.260      4.500     -1.590    -10.660     13.280     -2.560
      0.429     -3.330      4.690     -1.620     -7.490     13.890     -2.270
      0.443     -3.340      4.930     -1.670     -7.160     12.210     -2.290
      0.457     -3.430      5.090     -1.710     -5.800     11.530     -2.750
      0.471     -3.510      5.250     -1.750     -4.500     11.960     -3.000
      0.486     -3.550      5.420     -1.790     -4.210      9.670     -2.400
      0.500     -3.570      5.570     -1.830     -3.390      9.310     -3.530
      0.514     -3.600      5.690     -1.870     -3.610      8.440     -3.540
      0.529     -3.620      5.810     -1.920     -4.190      7.990     -2.860
      0.543     -3.650      5.930     -1.960     -2.940      6.940     -2.440
      0.557     -3.650      6.020     -2.010     -2.830      5.480     -2.460
      0.571     -3.670      6.110     -2.040     -4.510      5.220     -2.430
      0.586     -3.710      6.170     -2.080     -5.480      5.070     -2.310
      0.600     -3.760      6.240     -2.120     -5.470      3.800     -1.790
      0.614     -3.890      6.350     -2.100     -5.310      6.120     -2.200
      0.629     -3.900      6.460     -2.130     -5.190      4.710     -1.570
      0.643     -3.950      6.550     -2.150     -7.030      4.840     -1.440
      0.657     -3.970      6.650     -2.160     -5.380      5.610     -0.740
      0.671     -4.010      6.720     -2.160     -6.430      4.500     -0.440
      0.686     -4.040      6.800     -2.170     -6.640      6.050     -0.520
      0.700     -4.050      6.900     -2.180     -7.180      5.720     -1.740
      0.714     -4.090      6.980     -2.210     -7.250      6.710     -1.650
      0.729     -4.080      7.030     -2.260     -8.660      5.380     -2.440
      0.743     -4.190      7.090     -2.300     -9.210      8.440     -2.070
      0.757     -4.260      7.230     -2.360     -8.840     10.670     -3.560
      0.771     -4.390      7.350     -2.450     -8.540     11.050     -5.860
      0.786     -4.460      7.460     -2.560     -8.200     10.830     -6.710
      0.800     -4.590      7.590     -2.670     -7.650     11.140     -7.210
      0.814     -4.730      7.740     -2.780     -6.810      9.440     -7.750
      0.829     -4.880      7.890     -2.910     -7.300      8.340     -9.200
      0.843     -5.000      8.030     -3.040     -8.190      6.030    -10.020
      0.857     -5.130      8.180     -3.190    -11.100      6.660     -9.050
      0.871     -5.260      8.350     -3.300    -12.190      8.460     -7.790
      0.886     -5.450      8.520     -3.410    -13.150      9.690     -8.160
      0.900     -5.610      8.730     -3.500    -12.580      9.960     -7.300
      0.914     -5.770      8.920     -3.590    -12.560     11.240     -7.610
      0.929     -5.920      9.070     -3.710    -12.660     10.710     -8.630
      0.943     -6.130      9.240     -3.850    -12.400     11.870     -8.060
      0.957     -6.320      9.370     -3.970    -11.490     11.810     -8.440
      0.971     -6.340      9.980     -4.050     -9.700     11.370     -9.060
      0.986     -6.470     10.150     -4.180     -7.910     12.650     -9.090
      1.000     -6.560     10.330     -4.310     -5.060     12.740     -8.260
      1.014     -6.630     10.480     -4.420     -5.310     10.740     -8.380
      1.029     -6.710     10.620     -4.530     -4.760     10.180     -7.320
      1.043     -6.780     10.760     -4.640     -5.250     10.680     -7.610
      1.057     -6.860     10.890     -4.750     -6.170      9.680     -8.120
      1.071     -6.940     11.050     -4.880     -5.400     11.460    -10.120
      1.086     -7.040     11.220     -5.010     -6.220     12.160    -10.010
      1.100     -7.140     11.400     -5.150     -5.820     13.490     -9.620
      1.114     -7.230     11.600     -5.290     -5.810     14.570    -10.290
      1.129     -7.330     11.810     -5.450     -6.460     16.000    -11.760
      1.143     -7.450     12.040     -5.610     -6.980     17.010    -12.040
      1.157     -7.560     12.300     -5.770     -7.120     18.250    -10.800
      1.171     -7.680     12.570     -5.920     -6.210     16.880    -11.850
      1.186     -7.790     12.830     -6.080     -5.660     15.870    -11.440
      1.200     -7.630     13.190     -6.280     -4.710     14.350    -11.490
      1.214     -7.680     13.410     -6.440     -5.770     14.310    -10.720
